Probabilidad_de_mutacion,Probabilidad_de_cruce,Tamano_de_la_poblacion,Numero_de_iteraciones,Iteraciones_por_individuo,Algoritmos,Fitness,Puntos_promedio,Fenotipo,Tiempo_de_Ejecucion
0.1,0.6,100,100,3,jeco.core.operator.selection.BinaryTournament@42a57993 - jeco.core.operator.crossover.SinglePointCrossover@49097b5d - jeco.core.operator.mutation.CombinatorialMutation@6bc7c054,94980.0,5020.0,if(_getClosestNonEdibleGhostDistanceToClosestJunctionRight_GT_1_){_getDirectionTowardsClosestPill_},110.783913217
0.1,0.6,100,100,3,jeco.core.operator.selection.BinaryTournament@42a57993 - jeco.core.operator.crossover.SinglePointCrossover@49097b5d - jeco.core.operator.mutation.IntegerFlipMutation@30dae81,90780.0,9220.0,if(_getDistanceToClosestNonEdibleGhost_LT_14_){_if(_isJunction_or_isJunction_){_getDirectionTowardsClosestPowerPill_}_else{_getDirectionAwayFromClosestNonEdibleGhost_}_}_else{_getDirectionTowardsClosestEdibleGhost_},51.391656291
0.1,0.6,100,100,3,jeco.core.operator.selection.BinaryTournament@42a57993 - jeco.core.operator.crossover.SinglePointCrossover@49097b5d - jeco.core.operator.mutation.SwapMutation@1e80bfe8,94376.66666666667,5623.3333333333285,if(_isJunction_or_!_isJunction_){_getDirectionTowardsClosestPill_}_else{_if(_getDistanceToClosestNonEdibleGhostLeft_LE_92_){_if(_!_isJunction_and_!_isJunction_){_moveDown_}_else{_if(_isJunction_){_getDirectionTowardsClosestPill_}_else{_getDirectionTowardsClosestPowerPill_}_}_}_else{_moveUp_}_},22.609431501
0.1,0.6,100,100,3,jeco.core.operator.selection.BinaryTournamentNSGAII@7c3df479 - jeco.core.operator.crossover.SinglePointCrossover@49097b5d - jeco.core.operator.mutation.CombinatorialMutation@6bc7c054,90680.0,9320.0,if(_isJunction_or_!_isJunction_){_if(_getClosestNonEdibleGhostDistanceToClosestJunctionRight_NE_32_){_if(_isJunction_or_!_isJunction_){_getDirectionTowardsClosestEdibleGhost_}_else{_getDirectionTowardsClosestPowerPill_}_}_else{_getDirectionAwayFromClosestNonEdibleGhost_}_}_else{_moveRight_},123.711632348
0.1,0.6,100,100,3,jeco.core.operator.selection.BinaryTournamentNSGAII@7c3df479 - jeco.core.operator.crossover.SinglePointCrossover@49097b5d - jeco.core.operator.mutation.IntegerFlipMutation@30dae81,94063.33333333333,5936.6666666666715,if(_getClosestEdibleGhostDistanceToClosestJunctionRight_GT_1_){_getDirectionTowardsClosestPill_}_else{_getDirectionTowardsClosestEdibleGhost_},96.331924562
0.1,0.6,100,100,3,jeco.core.operator.selection.BinaryTournamentNSGAII@7c3df479 - jeco.core.operator.crossover.SinglePointCrossover@49097b5d - jeco.core.operator.mutation.SwapMutation@1e80bfe8,95313.33333333333,4686.6666666666715,if(_!_isJunction_or_isJunction_){_getDirectionTowardsClosestPill_}_else{_getDirectionTowardsClosestPill_},25.870311758
0.1,0.6,100,100,3,jeco.core.operator.selection.EliteSelectorOperator@433c675d - jeco.core.operator.crossover.CycleCrossover@17a7cec2 - jeco.core.operator.mutation.CombinatorialMutation@6bc7c054,94230.0,5770.0,if(_getDistToClosestPowerPillRight_EQ_8_){_if(_getClosestNonEdibleGhostDistanceToClosestJunctionLeft_NE_0_){_getDirectionTowardsClosestPill_}_else{_getDirectionTowardsClosestEdibleGhost_}_}_else{_getDirectionTowardsClosestPill_},38.81729902
0.1,0.6,100,100,3,jeco.core.operator.selection.EliteSelectorOperator@433c675d - jeco.core.operator.crossover.CycleCrossover@17a7cec2 - jeco.core.operator.mutation.IntegerFlipMutation@30dae81,93973.33333333333,6026.6666666666715,if(_getDistToClosestPowerPillRight_GE_7_){_if(_isJunction_and_!_isJunction_){_getDirectionTowardsClosestEdibleGhost_}_else{_getDirectionTowardsClosestPill_}_},30.97980131
0.1,0.6,100,100,3,jeco.core.operator.selection.EliteSelectorOperator@433c675d - jeco.core.operator.crossover.CycleCrossover@17a7cec2 - jeco.core.operator.mutation.SwapMutation@1e80bfe8,95020.0,4980.0,if(_getDistToClosestPillRight_GE_0_){_if(_getDistanceToClosestNonEdibleGhost_NE_1_){_getDirectionTowardsClosestPill_}_},168.62118135
0.1,0.6,100,100,3,jeco.core.operator.selection.EliteSelectorOperator@433c675d - jeco.core.operator.crossover.SinglePointCrossover@49097b5d - jeco.core.operator.mutation.CombinatorialMutation@6bc7c054,94040.0,5960.0,if(_getNumberOfActivePowerPills_GT_46_){_getDirectionAwayFromClosestNonEdibleGhost_}_else{_getDirectionTowardsClosestPill_},33.564502964
