Mejor fitness encontrado: 99476.0, con fenotipo: RLRDDLDRURDDLDUDUDR
Mejor fitness encontrado: 99504.0, con fenotipo: RRLDLDRUDDDLLUULDUU
Mejor fitness encontrado: 99438.0, con fenotipo: RLLRDLDRURDDLDUDUDR
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 99131.0, con fenotipo: DRUUU
Mejor fitness encontrado: 95502.0, con fenotipo: LRD
Mejor fitness encontrado: 99580.0, con fenotipo: DULUR
Mejor fitness encontrado: 99589.0, con fenotipo: RLULRLRUL
Mejor fitness encontrado: 99426.0, con fenotipo: DRUUU
Mejor fitness encontrado: 99147.0, con fenotipo: RDLUUUDUDLRDDLUDLDLLU
Mejor fitness encontrado: 99437.0, con fenotipo: URDLDDR
Mejor fitness encontrado: 99510.0, con fenotipo: RDRDLRDLUDLDRDURLUUUUDR
Mejor fitness encontrado: 99553.0, con fenotipo: DULUR
Mejor fitness encontrado: 99534.0, con fenotipo: D
Mejor fitness encontrado: 99526.0, con fenotipo: D
Mejor fitness encontrado: 99506.0, con fenotipo: D
Mejor fitness encontrado: 99458.0, con fenotipo: D
Mejor fitness encontrado: 99520.0, con fenotipo: LLU
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 99580.0, con fenotipo: DULUR
Mejor fitness encontrado: 95481.0, con fenotipo: LRD
Mejor fitness encontrado: 99472.0, con fenotipo: DRUUU
Mejor fitness encontrado: 99559.0, con fenotipo: DRUURDULRUULUURDUUDDL
Mejor fitness encontrado: 99377.0, con fenotipo: DRUUU
Mejor fitness encontrado: 99565.0, con fenotipo: RLLRDLDRURDDLDLUL
Mejor fitness encontrado: 91495.0, con fenotipo: DRL
Mejor fitness encontrado: 99437.0, con fenotipo: RLLLRRDLUDDDRDURLUUUUDR
Mejor fitness encontrado: 99379.0, con fenotipo: RDLULRLDLLU
Mejor fitness encontrado: 99514.0, con fenotipo: D
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 95675.0, con fenotipo: RDLUUUDUDLRDDLUDLDLDLDRDU
Mejor fitness encontrado: 99586.0, con fenotipo: URU
Mejor fitness encontrado: 99457.0, con fenotipo: RLLRDLDRURDULLURDLUDDRDRD
Mejor fitness encontrado: 95502.0, con fenotipo: LRD
Mejor fitness encontrado: 91664.0, con fenotipo: LRD
Mejor fitness encontrado: 99121.0, con fenotipo: DRUUU
Mejor fitness encontrado: 95480.0, con fenotipo: DRL
Mejor fitness encontrado: 91664.0, con fenotipo: RLD
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 95502.0, con fenotipo: LRD
Mejor fitness encontrado: 99219.0, con fenotipo: RDLUUUDUDLRDDLUDLDLLU
Mejor fitness encontrado: 95681.0, con fenotipo: DULUUUDURLDDLDUDUDR
Mejor fitness encontrado: 99575.0, con fenotipo: RLLRDLULLRRDDLUDLDLDLDRDU
Mejor fitness encontrado: 99489.0, con fenotipo: RDLUUUDUDLRDDLUDLDLDLDRDU
Mejor fitness encontrado: 99317.0, con fenotipo: DRUUU
Mejor fitness encontrado: 91581.0, con fenotipo: LRD
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 99486.0, con fenotipo: RLLRDLDRURDDLDUDUDR
Mejor fitness encontrado: 99460.0, con fenotipo: D
Mejor fitness encontrado: 99460.0, con fenotipo: URDLDDR
Mejor fitness encontrado: 99366.0, con fenotipo: DRUUU
Mejor fitness encontrado: 99313.0, con fenotipo: RDRDLRDLRDLDRDURLUUUUDR
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 99337.0, con fenotipo: DRUUU
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 91648.0, con fenotipo: DRL
Mejor fitness encontrado: 91664.0, con fenotipo: LRD
Mejor fitness encontrado: 99592.0, con fenotipo: DRUULLDDLLRURDULU
Mejor fitness encontrado: 99546.0, con fenotipo: D
Mejor fitness encontrado: 99518.0, con fenotipo: RLLRDLDRURDULLURDLUDDRDRD
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 99442.0, con fenotipo: RDLUUUDUDLLRDDD
Mejor fitness encontrado: 99528.0, con fenotipo: DULUR
Mejor fitness encontrado: 95461.0, con fenotipo: LRD
Mejor fitness encontrado: 91607.0, con fenotipo: LRD
Mejor fitness encontrado: 95502.0, con fenotipo: LRD
Mejor fitness encontrado: 99534.0, con fenotipo: R
Mejor fitness encontrado: 91799.0, con fenotipo: LRD
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 99412.0, con fenotipo: D
Mejor fitness encontrado: 99522.0, con fenotipo: LRL
Mejor fitness encontrado: 91591.0, con fenotipo: DRL
Mejor fitness encontrado: 99486.0, con fenotipo: RDUUUUDUDLRDDLUDLDLDLDRDU
Mejor fitness encontrado: 99594.0, con fenotipo: LLU
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 99440.0, con fenotipo: D
Mejor fitness encontrado: 99464.0, con fenotipo: RDLUUUDUDLRDDLUDLDLDRDULRLD
Mejor fitness encontrado: 99562.0, con fenotipo: DRUUU
Mejor fitness encontrado: 91832.0, con fenotipo: LRD
Mejor fitness encontrado: 95832.0, con fenotipo: LRD
Mejor fitness encontrado: 91588.0, con fenotipo: DRL
Mejor fitness encontrado: 95483.0, con fenotipo: DRL
Mejor fitness encontrado: 95662.0, con fenotipo: DULUUUDURLDDLDUDUDR
Mejor fitness encontrado: 91495.0, con fenotipo: DRL
Mejor fitness encontrado: 99108.0, con fenotipo: RDLUUDDUDLRDDLUDLDLLU
Mejor fitness encontrado: 95502.0, con fenotipo: LRD
Mejor fitness encontrado: 91698.0, con fenotipo: DRL
Mejor fitness encontrado: 91802.0, con fenotipo: LRD
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 95451.0, con fenotipo: LRD
Mejor fitness encontrado: 99489.0, con fenotipo: RDLUUUDUDLRDDLUDLDLDLDRDU
Mejor fitness encontrado: 95669.0, con fenotipo: DRL
Mejor fitness encontrado: 95483.0, con fenotipo: DRL
Mejor fitness encontrado: 95481.0, con fenotipo: RLD
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91824.0, con fenotipo: RDLUUUDUDLDRDLDUDRRLLULRDDLRLDLURLDLUDLUU
Mejor fitness encontrado: 99430.0, con fenotipo: UULUUUDUDLRDDLUDLDLDLDRDU
Mejor fitness encontrado: 99452.0, con fenotipo: RUDLDDR
Mejor fitness encontrado: 91648.0, con fenotipo: DRL
Mejor fitness encontrado: 95667.0, con fenotipo: LRD
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 95475.0, con fenotipo: RLD
Mejor fitness encontrado: 99455.0, con fenotipo: LRD
Mejor fitness encontrado: 91496.0, con fenotipo: LRD
Mejor fitness encontrado: 95811.0, con fenotipo: LRD
Mejor fitness encontrado: 91637.0, con fenotipo: LRD
Mejor fitness encontrado: 91542.0, con fenotipo: RLLRDLDRURDDULLRRRDDDDR
Mejor fitness encontrado: 91390.0, con fenotipo: DRL
Mejor fitness encontrado: 95634.0, con fenotipo: LRD
Mejor fitness encontrado: 91430.0, con fenotipo: LRD
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91648.0, con fenotipo: DRL
Mejor fitness encontrado: 99267.0, con fenotipo: DRUUU
Mejor fitness encontrado: 99582.0, con fenotipo: LLU
Mejor fitness encontrado: 95632.0, con fenotipo: DRL
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 99528.0, con fenotipo: DRRDRRDLUDLDRDURLUUUUDR
Mejor fitness encontrado: 99306.0, con fenotipo: LRDLDDR
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 91621.0, con fenotipo: DRL
Mejor fitness encontrado: 99326.0, con fenotipo: DRUUU
Mejor fitness encontrado: 95481.0, con fenotipo: RLD
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 91633.0, con fenotipo: DRL
Mejor fitness encontrado: 95480.0, con fenotipo: DRL
Mejor fitness encontrado: 91832.0, con fenotipo: LRD
Mejor fitness encontrado: 91633.0, con fenotipo: DRL
Mejor fitness encontrado: 91664.0, con fenotipo: RLD
Mejor fitness encontrado: 91807.0, con fenotipo: DRL
Mejor fitness encontrado: 91652.0, con fenotipo: LRD
Mejor fitness encontrado: 91754.0, con fenotipo: LRD
Mejor fitness encontrado: 99452.0, con fenotipo: LRD
Mejor fitness encontrado: 99362.0, con fenotipo: DRR
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91632.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 99504.0, con fenotipo: RDDRLRDLUDLDRDURLUUUUDR
Mejor fitness encontrado: 91832.0, con fenotipo: LRD
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 91481.0, con fenotipo: LRD
Mejor fitness encontrado: 91831.0, con fenotipo: DRL
Mejor fitness encontrado: 91769.0, con fenotipo: LRD
Mejor fitness encontrado: 99458.0, con fenotipo: LRD
Mejor fitness encontrado: 91237.0, con fenotipo: DRL
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 99455.0, con fenotipo: LRD
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 99455.0, con fenotipo: LRD
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 91600.0, con fenotipo: DRL
Mejor fitness encontrado: 95502.0, con fenotipo: RLD
Mejor fitness encontrado: 95502.0, con fenotipo: RLD
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 91649.0, con fenotipo: LRD
Mejor fitness encontrado: 91480.0, con fenotipo: DRL
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 95465.0, con fenotipo: DRL
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 91480.0, con fenotipo: RDDRRRL
Mejor fitness encontrado: 91665.0, con fenotipo: RDLUUUDUDLDRLDUDUDR
Mejor fitness encontrado: 99461.0, con fenotipo: LRD
Mejor fitness encontrado: 95832.0, con fenotipo: LRD
Mejor fitness encontrado: 99503.0, con fenotipo: RLDLDLDRURDDULLRRRDDDDR
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 99584.0, con fenotipo: URL
Mejor fitness encontrado: 91663.0, con fenotipo: DRL
Mejor fitness encontrado: 95504.0, con fenotipo: DRL
Mejor fitness encontrado: 95471.0, con fenotipo: DRL
